Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.05     0.00     2376     0.00     0.00  __gnu_cxx::__normal_iterator<Place const*, std::vector<Place, std::allocator<Place> > >::operator++()
  0.00      1.05     0.00     2376     0.00     0.00  __gnu_cxx::__normal_iterator<Place const*, std::vector<Place, std::allocator<Place> > >::operator*() const
  0.00      1.05     0.00     2376     0.00     0.00  void std::_Construct<Place, Place const&>(Place*, Place const&)
  0.00      1.05     0.00     2268     0.00     0.00  Utilisateur::getId() const
  0.00      1.05     0.00     2042     0.00     0.00  void __gnu_cxx::new_allocator<Place>::destroy<Place>(Place*)
  0.00      1.05     0.00     2042     0.00     0.00  void __gnu_cxx::new_allocator<Place>::construct<Place, Place>(Place*, Place&&)
  0.00      1.05     0.00     2042     0.00     0.00  void std::allocator_traits<std::allocator<Place> >::destroy<Place>(std::allocator<Place>&, Place*)
  0.00      1.05     0.00     2042     0.00     0.00  void std::allocator_traits<std::allocator<Place> >::construct<Place, Place>(std::allocator<Place>&, Place*, Place&&)
  0.00      1.05     0.00     2042     0.00     0.00  void std::__relocate_object_a<Place, Place, std::allocator<Place> >(Place*, Place*, std::allocator<Place>&)
  0.00      1.05     0.00     2042     0.00     0.00  std::remove_reference<Place&>::type&& std::move<Place&>(Place&)
  0.00      1.05     0.00     1383     0.00     0.00  std::vector<std::pair<unsigned int, Utilisateur const>, std::allocator<std::pair<unsigned int, Utilisateur const> > >::size() const
  0.00      1.05     0.00     1304     0.00     0.00  Voiture::MoveDown()
  0.00      1.05     0.00     1296     0.00     0.00  Place::Place(Vec2, int)
  0.00      1.05     0.00     1296     0.00     0.00  void __gnu_cxx::new_allocator<Place>::construct<Place, Place const&>(Place*, Place const&)
  0.00      1.05     0.00     1296     0.00     0.00  void std::allocator_traits<std::allocator<Place> >::construct<Place, Place const&>(std::allocator<Place>&, Place*, Place const&)
  0.00      1.05     0.00     1296     0.00     0.00  std::vector<Place, std::allocator<Place> >::push_back(Place const&)
  0.00      1.05     0.00     1134     0.00     0.00  std::vector<std::pair<unsigned int, Utilisateur const>, std::allocator<std::pair<unsigned int, Utilisateur const> > >::operator[](unsigned long)
  0.00      1.05     0.00      716     0.00     0.00  Utilisateur::~Utilisateur()
  0.00      1.05     0.00      659     0.00     0.00  Utilisateur::Utilisateur(Utilisateur const&)
  0.00      1.05     0.00      559     0.00     0.00  __gnu_cxx::new_allocator<Node*>::~new_allocator()
  0.00      1.05     0.00      559     0.00     0.00  std::allocator<Node*>::~allocator()
